일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh)
2025-11-13 00:00,6.8,,44.0,,6.0,,,122.288,0.0
2025-11-13 01:00,7.1,,46.0,,,,,122.288,0.0
2025-11-13 02:00,7.0,,63.0,,,,,122.288,0.0
2025-11-13 03:00,6.9,,58.0,,9.0,,,122.288,0.0
2025-11-13 04:00,6.8,,63.0,,9.0,,,122.288,0.0
2025-11-13 05:00,6.5,,58.0,,9.0,,,122.288,0.0
2025-11-13 06:00,6.2,,50.0,,8.0,,,122.288,0.0
2025-11-13 07:00,6.0,,54.0,,9.0,,,122.288,0.23
2025-11-13 08:00,5.8,,56.0,,9.0,0.0,0.0,122.288,9.87
2025-11-13 09:00,6.2,,51.0,,9.0,0.0,0.13,122.288,26.04
2025-11-13 10:00,6.6,,50.0,,9.0,0.0,0.31,122.288,46.28
2025-11-13 11:00,6.7,,51.0,,9.0,0.0,0.43,122.288,66.77
2025-11-13 12:00,7.1,,52.0,,9.0,0.1,0.77,122.288,71.27
2025-11-13 13:00,7.2,,53.0,,2.0,0.7,1.64,122.288,71.85
2025-11-13 14:00,7.5,,53.0,,7.0,0.1,0.83,122.288,65.29
2025-11-13 15:00,7.4,,54.0,,4.0,0.4,0.89,122.288,45.52
2025-11-13 16:00,7.1,,52.0,,3.0,0.2,0.45,122.288,16.99
2025-11-13 17:00,7.0,,49.0,,1.0,0.9,0.47,122.288,0.99
2025-11-13 18:00,6.5,,49.0,,0.0,0.3,0.05,122.288,0.0
2025-11-13 19:00,6.3,,51.0,,0.0,,,122.288,0.0
2025-11-13 20:00,6.4,,54.0,,,,,122.288,0.0
2025-11-13 21:00,6.4,,54.0,,3.0,,,122.288,0.0
2025-11-13 22:00,6.0,,50.0,,,,,122.288,0.0
2025-11-13 23:00,4.9,,56.0,,,,,122.288,0.0